Frame,Time (s),Knee_x (m),Knee_y (m),Theta (deg),Omega (rad/s),Alpha (rad/s^2)
1,0,0.4075,0.4754,-15.2,-2.29,94.89
2,0.014,0.4461,0.4741,-16.4,-0.82,98.72
3,0.029,0.485,0.4746,-16.5,0.54,84.63
4,0.043,0.5235,0.4771,-15.6,1.6,63.13
5,0.057,0.5613,0.4815,-13.9,2.34,41.31
6,0.072,0.598,0.4877,-11.7,2.78,20.1
7,0.086,0.6336,0.4952,-9.3,2.92,-0.74
8,0.1,0.6678,0.5034,-6.9,2.76,-18.7
9,0.114,0.7006,0.5118,-4.8,2.38,-30.23
10,0.129,0.7319,0.52,-3,1.9,-34.13
11,0.143,0.7615,0.5278,-1.7,1.41,-32.12
12,0.157,0.7896,0.5347,-0.7,0.98,-26.84
13,0.172,0.8159,0.5404,-0.1,0.64,-20.23
14,0.186,0.8407,0.5447,0.3,0.4,-13.59
15,0.2,0.8641,0.5474,0.6,0.25,-8.03
16,0.215,0.886,0.5483,0.7,0.17,-3.87
17,0.229,0.9067,0.5476,0.9,0.14,-0.56
18,0.243,0.9263,0.5451,1,0.15,2.33
19,0.257,0.9448,0.5412,1.1,0.21,4.6
20,0.272,0.9627,0.5361,1.3,0.29,5.47
21,0.286,0.9803,0.5303,1.6,0.36,3.83
22,0.3,0.9981,0.5242,1.9,0.4,-0.84
23,0.315,1.0165,0.5186,2.2,0.34,-8.36
24,0.329,1.0358,0.5138,2.5,0.16,-19.22
25,0.343,1.0561,0.51,2.5,-0.21,-33.28
26,0.357,1.0776,0.5072,2.1,-0.79,-46.39
27,0.372,1.0997,0.5053,1.2,-1.54,-50.65
28,0.386,1.1223,0.5042,-0.4,-2.24,-38.3
29,0.4,1.1448,0.5039,-2.5,-2.63,-7.99
30,0.415,1.1669,0.5046,-4.7,-2.47,30.12
31,0.429,1.1885,0.5061,-6.5,-1.77,59.6
32,0.443,1.2097,0.5083,-7.6,-0.77,70.7
33,0.458,1.2304,0.511,-7.8,0.25,64.54
34,0.472,1.25,0.5138,-7.2,1.08,46.87
35,0.486,1.2679,0.516,-6,1.59,24.33
36,0.5,1.2839,0.5175,-4.6,1.77,4.14
37,0.515,1.2977,0.5182,-3.1,1.71,-8.73
38,0.529,1.3097,0.5183,-1.8,1.52,-13.85
39,0.543,1.32,0.518,-0.6,1.31,-13.32
40,0.558,1.3288,0.5175,0.4,1.14,-9.71
41,0.572,1.3365,0.5171,1.2,1.04,-6.42
42,0.586,1.3435,0.517,2.1,0.96,-6.79
43,0.601,1.3502,0.5172,2.8,0.84,-10.34
44,0.615,1.357,0.5175,3.4,0.66,-12.36
45,0.629,1.3639,0.5175,3.9,0.49,-9.52
46,0.643,1.371,0.5169,4.2,0.39,-3.26
47,0.658,1.3784,0.5157,4.6,0.4,3.33
48,0.672,1.3859,0.5141,4.9,0.49,7.14
49,0.686,1.3937,0.5123,5.3,0.6,4.92
50,0.701,1.4018,0.5105,5.9,0.63,-3.15
51,0.715,1.4102,0.5089,6.4,0.51,-11.5
52,0.729,1.4188,0.5077,6.7,0.3,-14.34
53,0.744,1.4275,0.5069,6.9,0.1,-10.68
54,0.758,1.4366,0.5065,6.9,-0.01,-4.17
55,0.772,1.4463,0.5062,6.9,-0.02,0
56,0.786,1.4571,0.5061,6.8,-0.01,-1.14
57,0.801,1.469,0.5059,6.8,-0.05,-7.42
58,0.815,1.4822,0.5055,6.8,-0.22,-17.46
59,0.829,1.4969,0.5048,6.5,-0.55,-28.75
60,0.844,1.5135,0.5037,5.9,-1.04,-37.44
61,0.858,1.5322,0.5021,4.8,-1.62,-40.93
62,0.872,1.5534,0.4999,3.2,-2.21,-40.94
63,0.887,1.5775,0.4969,1.2,-2.79,-41.67
64,0.901,1.6046,0.4933,-1.4,-3.4,-43.21
65,0.915,1.6346,0.4894,-4.4,-4.03,-38.18
66,0.929,1.6671,0.4853,-8,-4.5,-17.72
67,0.944,1.7014,0.4812,-11.8,-4.54,18.41
68,0.958,1.7369,0.4776,-15.4,-3.97,59.42
69,0.972,1.7732,0.4747,-18.3,-2.84,91.15
70,0.987,1.8097,0.473,-20.1,-1.36,104.21
71,1.001,1.8462,0.4728,-20.5,0.14,96.45
72,1.015,1.8826,0.4743,-19.8,1.4,72.74
73,1.03,1.919,0.4775,-18.2,2.22,42.5
74,1.044,1.9552,0.4823,-16.2,2.61,15.01
75,1.058,1.9911,0.4884,-14,2.65,-3.93
76,1.072,2.0265,0.4955,-11.8,2.5,-13.24
77,1.087,2.061,0.5032,-9.9,2.28,-16.29
78,1.101,2.0943,0.5112,-8.1,2.03,-17.51
79,1.115,2.1262,0.5189,-6.5,1.77,-18.73
80,1.13,2.1565,0.526,-5.2,1.5,-19.65
81,1.144,2.1853,0.5323,-4.1,1.21,-19.37
82,1.158,2.2124,0.5375,-3.2,0.94,-17.21
83,1.173,2.2381,0.5416,-2.5,0.72,-13.87
84,1.187,2.2622,0.5442,-2,0.55,-10.79
85,1.201,2.2848,0.5452,-1.6,0.41,-7.88
86,1.215,2.306,0.5443,-1.3,0.32,-3.38
87,1.23,2.3259,0.5416,-1.1,0.31,3.27
88,1.244,2.3446,0.5372,-0.8,0.42,9.14
89,1.258,2.3625,0.5315,-0.4,0.58,10.06
90,1.273,2.38,0.525,0.1,0.7,4.8
91,1.287,2.3975,0.5184,0.7,0.71,-4.67
92,1.301,2.4156,0.5122,1.3,0.57,-16.27
93,1.316,2.4349,0.5071,1.7,0.25,-29.67
94,1.33,2.4556,0.5033,1.7,-0.28,-44.2
95,1.344,2.4779,0.5009,1.2,-1.02,-54.99
96,1.358,2.5014,0.4998,0,-1.85,-53.1
97,1.373,2.5257,0.4999,-1.8,-2.53,-31.93
98,1.387,2.5502,0.5008,-4.1,-2.77,4.96
99,1.401,2.5746,0.5025,-6.4,-2.39,43.33
100,1.416,2.5984,0.5047,-8,-1.53,67.62
101,1.43,2.6214,0.5072,-8.9,-0.46,71.62
102,1.444,2.6431,0.5098,-8.8,0.52,59.88
103,1.459,2.6628,0.512,-8,1.25,41.13
104,1.473,2.68,0.5136,-6.7,1.7,22.1
105,1.487,2.6945,0.5147,-5.2,1.89,5.23
106,1.501,2.7065,0.5153,-3.7,1.85,-10.1
